AT,V,AP,RH,PE
23.64,69.94,1005.2,64.53,439.66
19.5,52.72,1025.21,50.21,457.26
25.15,68.51,1013.25,72.31,440.96
23.67,71.77,1004.76,86.13,434.47
24.1,52.84,1006.47,47.58,444.69
24.2,57.85,1013.05,70.29,446.87
10.69,36.71,1022.08,83.28,472.81
27.33,66.17,1011.06,64.55,443.89
23.86,66.54,1005.23,90.89,432.17
23.5,59.21,1018.29,63,443.31
24.21,70.98,1007.02,95.57,441.78
29.22,60.23,1009.73,61.5,436.32
22.7,60.84,1019.15,71.48,438.59
11.02,39.96,1025.64,93.58,467.41
15.66,41.7,1018,77,452.58
29.76,57.19,1008.59,51.1,436.21
9.76,39.16,1014.19,85.4,482.38
27.01,43.21,1011.71,77.84,434.09
23.7,62.91,1012.26,57.89,444.99
14.01,42.99,1007.12,69.69,469.23
15.25,43.02,1012.04,41.43,467.23
24.29,63.57,1010.29,87.3,443.28
26.52,77.17,1008.71,92.32,432.48
27.31,68.14,1005.73,50.74,437.83
8.99,39.04,1021.99,75.98,483.35
20.19,58.86,1014.3,71.64,450.67
15.07,39.3,1019,63.62,464.7
30.47,72.86,1004.02,66.35,432.51
6.75,39.37,1020.26,70.99,486.26
25.57,62.96,1019.92,58.34,444.81
14.08,39.31,1011.67,72,464.16
12.42,40.24,1016.59,90.01,469.59
22.24,69.23,1011.83,79.37,441.9
29.29,73.18,1012.4,66.65,430.31
12.64,41.26,1020.79,83.66,465.78
9.73,40.22,1011.48,87.88,481.42
28.62,69.98,1013.3,68.53,432.11
26.62,71.73,1009.32,80.1,431.93
11.87,36.43,1023.42,79.5,474.17
25.38,71.73,1009.97,72.6,434.44
22.4,68.31,1009.52,83.5,446.91
9.31,41.39,1018.3,93.68,480.25
8.23,40.77,1011.92,90.59,479.24
8.57,40.23,1017.53,90.46,484.17
8.03,37.8,1020.47,60.67,481.51
21.52,46.21,1010.62,67.62,449.08
27.89,69.88,1007.99,85.62,430.75
29.54,74.99,1005,69.69,432.94
17.35,39.72,1003,64.62,459.83
24.49,59.87,1018.4,59.95,444.54
22.89,65.34,1015.53,61,450.53
26.14,69.14,1007.1,88.27,439.03
24.12,58.66,1011.55,58.96,450.69
23.03,65.12,1016.29,69.8,447.84
24.55,57.5,1015.36,62.45,447.3
15.62,40.12,1013.03,96.26,462.59
20.17,50.66,1014.38,82.09,454.79
29.68,64.33,1011.2,57.73,441.79
22.29,43.79,1015.68,41.75,461.23
13.67,38.53,1009.3,81.85,470.39
26.41,68.24,1010.6,77.79,428.52
8.76,40.96,1025.21,90.72,483.79
24.33,77.54,1008.5,82.45,435.38
30.2,69.59,1008.9,67.32,434.66
17.47,58.16,1016.36,82.26,456.97
30.76,73.17,1009.89,50.43,430.98
15.08,42.77,1018.67,73.89,461.6
28.8,73.4,1011.34,54.01,439.65
28.36,69.88,1007.75,84.17,434.03
28.27,66.56,1007.36,55.99,433.52
15.32,45.01,1013.3,83.72,459.31
11.43,44.78,1013.43,82.45,471.09
29.85,71.58,1010.04,58.66,432.26
27.77,62.26,1010.88,66.45,430.19
7,39.81,1017.47,87.65,484.51
12.99,41.93,1020.25,74.64,472.95
10.55,41.92,1030,91.23,470.95
20.45,48.41,1010.81,86.7,444.69
30.36,69.04,1009.6,58.73,436.72
26.93,75.23,1010.19,62.12,434.1
13.87,45.08,1024.42,81.69,465.48
24.22,62.08,1022.53,60.79,449.11
30.78,69.14,1007.27,62.77,433.96
28.18,77.54,1011.99,74.72,430.55
18.78,63.09,1019.22,80.2,452.86
15.04,41.35,1004.29,99.1,467.96
10.37,37.5,1013.19,79.25,473.1
30.16,73.17,1010.74,58.99,434.43
16.76,48.14,1012.92,65.74,456.31
23.96,60.95,1015.01,65.24,446.4
24.33,68.08,1013.02,64.81,442.93
31.53,70.94,1007.11,50.04,431.84
25.44,61.25,1012.57,87.65,441.77
23.21,74.22,1009.68,88.46,440.46
21.17,52.3,1009.67,88.88,444.5
24.67,63.56,1013.75,67.56,446.3
20.58,50.78,1008.87,91.18,445.03
5.79,38.68,1017.19,70.46,487.4
21.97,69.23,1012.25,86.45,443.85
13.97,52.05,1012.05,85.36,463.64
30.75,71.25,1000.07,65.47,431.93
13.85,41.39,1018.62,75.55,471.45
14.94,41.35,1004.82,98.04,466.73
25.55,58.95,1017.12,51.84,442.3
30.34,75.08,1005.32,52.97,437.26
32.53,77.95,1014.76,58.1,434.44
33.12,68.31,1010.3,42.29,441.13
9.08,36.18,1020.24,68.37,477.26
15.86,49.69,1015.59,87.26,462.84
21.23,61.5,1008.98,82.14,450.92
10.9,39.64,1010.58,64.88,477.04
31.59,62.7,1009.3,50.16,442.58
31.68,70.79,1004.05,54.5,429.55
11.87,36.43,1023.42,79.5,474.17
11.42,40.35,1011.55,82.71,478.7
21.45,60.84,1017.86,82.8,444.99
26.11,52.36,1013.9,59.62,453.76
31.54,77.24,1008.23,70.19,431.27
26.6,61.02,1010.26,66.16,436.19
24.1,71.97,1009.92,91.27,443.09
22.9,49.3,1003.45,80.95,441.77
6.03,41.17,1019.81,84.2,488.57
9.73,40.22,1011.48,87.88,481.42
23.86,52.84,1006.56,48.94,444.66
10.65,41.78,1013.66,70.04,474.27
10.26,43.14,1019.68,98.97,466.75
14.04,40.56,1018.4,65.79,472.98
15.19,41.43,1011.34,89.67,470.41
15.79,50.88,1014.58,99.9,460.19
17.83,44.92,1025.04,70.58,458.42
10.65,41.78,1013.66,70.04,474.27
29.79,69.34,1008.82,65.13,434.74
19.39,68.61,1011.09,96.51,446.47
24.88,71.94,1006.85,87.32,433.3
25.06,78.92,1010.74,90.7,434.55
22.89,80.25,1006.38,80.25,446.15
17.33,42.28,1007.97,50.33,462.26
24.66,63.73,1011.4,74.52,444.37
25.99,68.08,1013.13,59.14,442.14
23.22,59.15,1014.58,75.18,443.7
27.95,77.54,1010.12,78.97,434.7
29.29,73.18,1012.4,66.65,430.31
5.64,40.62,1015.76,85.98,483.17
21.81,43.77,1011.97,64.72,453.13
15.08,37.85,1009.85,85.9,465.58
26.71,59.39,1014.24,66.45,439.33
19.79,60.1,1010.47,84.04,452.41
15.74,43.34,1013.38,81.45,463.24
12.75,39.58,1010.8,77.31,473.46
13.52,39.39,1012.91,84.03,474.82
14.1,42.18,1015.05,78.25,463.3
24.19,46.21,1010.79,62.04,440.87
30.3,69.51,1011.8,50.43,431.12
24.97,68.61,1011,55.04,453.26
23.56,60.77,1017.93,76.34,443.13
8.43,40.6,1015.39,91.81,483.1
21.83,57.85,1012.49,75.16,448.21
27.28,72.58,1009.21,89.96,431.27
19.85,56.53,1020.57,74.05,457.17
26.39,71.25,999.8,89.12,430.34
27.42,65.74,1013.43,69.42,440.52
6.04,41.14,1027.92,87.12,481.37
22.57,62.4,1009.77,86.05,444.69
15.99,43.34,1014.2,78.66,465.96
24.71,61.9,1013.78,85.82,443.39
31.44,79.74,1006.95,56.99,431.69
24.32,58.79,1016.8,65.61,442.78
23.04,57.32,1011.23,64.27,442.01
23.61,63.94,1012.9,87.06,441.57
17.75,49.78,1004.49,100.09,452.02
4.93,35.19,1018.04,92.94,486.39
15.06,41.85,1016.78,88.23,466.72
14.13,41.23,994.6,93.02,467.84
15.3,43.34,1013.23,82.73,463.7
17.68,45.17,1017.5,77.57,461.96
23.94,51.95,1008.18,71.87,451.84
15.5,39.16,1016.24,78.13,469.52
13.45,40.73,1018.7,93.88,461.03
18.81,61.87,1009.71,70.47,448.49
21.47,65.61,1015.92,76.22,447.42
28.56,69.51,1012.45,46.59,434.35
16.84,45.01,1016.14,75.74,456.85
24.54,65.46,1014.27,40.77,446.26
17.85,53.16,1013.05,82.72,456.49
13.1,40.03,1017.79,84.48,470.75
28.73,73.91,1004.91,70.17,436.12
12.02,41.92,1030.1,84.45,465.82
21.83,57.85,1012.49,75.16,448.21
24.72,68.67,1006.74,79.02,443.06
22.63,58.96,1013.62,56.67,451.41
22.31,70.32,1009.22,89.53,437.83
15.51,36.71,1014.05,72.92,465.85
23.24,45.01,1012.21,45.23,457.01
8.26,44.71,1020.85,68.82,485.19
20.54,68.12,1012.23,81.06,440.28
12.22,41.2,1016.81,81.22,474.96
20.33,57.76,1016.47,75.35,450.25
27.6,69.34,1009.63,71.58,440.6
8.57,41.17,1020.18,72.47,484.2
20.55,63.86,1015.12,73.98,447.54
22.66,69.84,1006.16,82.79,439.06
31.4,66.54,1003.55,57.73,425.91
21.53,70.02,1010.33,95.95,440.93
29.04,76.09,1007.52,75.44,430.32
23.46,73.18,1012.07,88.14,438.62
12.38,41.62,1012.37,84.15,461.07
22.2,44.05,1007.34,75.13,445.32
16.92,50.9,1013.27,82.97,460.86
24.81,67.17,1007.71,84.37,442.75
14.22,48.6,1006.26,88.05,459.69
24.02,77.54,1008.33,83.92,438.52
15.45,45,1023.63,70.74,469.54
18.81,61.87,1009.71,70.47,448.49
12.39,44.58,1016.38,84.95,475.37
23.5,50.78,1008.7,57.7,445.09
26.91,70.47,1007.55,72.59,434.24
7.79,41.16,1023.17,97.11,471.82
14.24,44.84,1023.6,94.06,466.67
6.81,38.56,1016.5,70.99,487.45
27.19,71.32,1008.97,88.43,437.92
17.69,46.36,1019.55,86.64,462.81
18.64,67.71,1003.84,89.63,442.26
31.4,70.32,1011.62,65.01,433.42
14.98,39.58,1011.78,75.07,467.77
9.17,40.67,1019.03,66.21,487.33
29.38,69.68,1011.35,49.25,430.2
9.18,39.42,1025.41,69.46,473.78
11.24,42.34,1021.3,95.19,469.3
22.45,59.87,1018.92,72.73,445.34
31.87,68.67,1005.64,48.85,435.66
19.43,52.9,1018.35,61.12,456.08
19.69,56.65,1020.86,73.41,455.32
19.48,58.79,1017.6,88.72,450.55
16.02,71.14,1019.75,70.42,456.35
27.33,66.17,1011.06,64.55,443.89
35.77,73.56,1006.36,36.31,430.14
25.86,59.07,1008.59,81.28,440.9
24.19,65.48,1018.8,60.54,443.92
12.11,41.17,1019.46,62.59,475.53
19.11,50.16,1010.88,100.09,450.38
29.81,73.67,1005.6,60.91,430.67
5.97,40.35,1012.3,94.1,489.03
14.54,42.99,1009.27,90.88,468.93
22.53,58.62,1016.28,72.78,449.02
8.68,43.14,1011.94,79.06,480.73
10.29,40.56,1017.28,69.13,481.7
10.03,43.13,1014.85,70.09,482.16
14.32,45.08,1023.24,84.53,467.21
22.03,59.43,1006.88,82.05,442.9
28.11,66.17,1010.51,65.16,444.2
23.63,63.57,1011.05,87.96,449.01
17.47,58.16,1016.36,82.26,456.97
25.52,69.75,1010.36,90.06,435.12
16.27,44.21,1020.56,82.22,462.11
21.92,64.63,1020.42,65.22,452.49
9.43,41.4,1028.81,85.83,475.8
21.8,65.94,1012.02,63.52,448.66
9.02,38.08,1019.02,69.98,478.32
27.39,69.14,1008.82,78.35,435.22
12.45,40.1,1015.4,82.61,473.63
21.83,63.13,1013.4,85.82,443.41
11.35,40.73,1019.37,96.05,472.32
19.94,38.52,1018.4,55.9,450.48
18.88,43.69,1016.77,46.88,464.63
14.4,40.2,1013.04,90.5,464.5
19.1,43.79,1016.02,77.34,462.28
14.28,39.39,1013.82,77.52,469.92
28.63,66.56,1005.88,64.73,427.35
20.95,44.89,1010.48,67.97,450.39
22.87,74.22,1009.36,93.05,438.67
13.47,41.14,1026.09,82.96,463.67
28.71,64.69,1006.52,68.38,435.85
19.55,56.53,1020.2,78.1,455.56
31.95,70.8,1008.38,66.26,432.79
15.72,41.76,1023.07,66.95,462.19
29.65,71.25,1001.07,73.97,430.88
21.96,71.85,1009.38,75.98,441.52
29.51,75.6,1017.92,50.61,431.18
32.23,69.13,1000.61,55.1,426.9
33.92,77.95,1010.15,58.89,433.01
20.71,46.63,1013.1,74.49,453.05
33.75,64.96,1002.54,39.28,432.62
10.35,39.82,1013.33,94.78,477.14
33.82,77.17,1008.96,58.91,435.58
21.37,65.94,1010.73,75.09,444.74
25.23,58.82,1010.9,70.47,442.64
23.46,73.18,1012.07,88.14,438.62
11.77,41.06,1021.45,76.63,475.88
25.55,58.95,1017.12,51.84,442.3
24.78,58.46,1016.82,67.5,442.42
25.06,74.33,1014.05,69.02,437.27
26.2,71.14,1007.92,72.95,431.7
14.11,45.08,1023.27,83.22,464.7
18.16,43.96,1012.78,78.33,465.26
18.95,65.48,1018.17,71.85,452.85
16.53,53.29,1018.64,87.47,463.32
22.24,69.23,1011.83,79.37,441.9
9.46,36.66,1026.22,72.58,479.06
10.12,38.38,1018.22,85.93,477.73
32.49,71.32,1005.03,57.12,433.59
7.05,43.65,1018.41,72.36,480.47
23.14,51.19,1009.56,77.2,443.87
33.95,80.18,1010.3,56.69,432.22
9.11,40.64,1020.68,86.91,476.62
10.06,34.69,1027.9,71.73,477.68
25.82,69.68,1012.69,89.94,439.58
23.95,73.67,1007.32,87.67,437.43
7.22,41.01,1025.19,97.27,476.15
21.78,47.43,1007.88,66.68,446.79
29.1,73.4,1011.35,57.31,436.85
8.01,40.02,1031.33,85.01,477.84
24.62,68.31,1010.45,75.18,448.58
26.1,58.9,1004.18,71.63,444.4
21.84,60.29,1017.23,66.89,454.4
31.07,64.96,1005.2,58.93,428.63
31.12,67.69,1005.3,50.46,425.21
5.95,35.57,1025.84,77.61,487.72
29.42,71.32,1002.26,67.13,437.47
33.34,69.88,1007.65,42.72,437.84
29.16,73.17,1010.96,67.77,429.06
24.17,48.78,1018.08,75.14,440.96
30.47,70.02,1009.65,62.03,435.72
29.65,72.86,1004.26,69.63,434.67
29.07,51.43,1006.22,61.58,438.79
16.36,44.88,1018.34,76,468.53
12.72,39.13,1008.36,92.59,467.28
26.73,77.95,1012.31,78.35,434.76
4.49,40.27,1012.01,76.5,494.24
13.09,39.85,1012.86,58.42,475.89
18.53,39.72,1001.26,64.08,457.26
11.91,40.69,1014.41,83.71,476.71
14.84,71.14,1019.61,66.78,454.16
24.26,67.69,1008.48,66.74,437.4
12.95,41.23,993.74,96.35,469.05
24.44,59.14,1016.74,71.82,443.5
27.49,63.78,1015.43,47.45,445.66
10.45,40,1019.01,89.01,465.43
17.31,44.71,1017.43,35.4,463.05
16.2,38.73,1002.14,75.03,467.89
13.43,50.59,1020.38,86.3,469.33
16.68,43.14,1018.39,76.48,459.83
10.93,39.22,1019.44,64.94,473.27
31.09,64.05,1011.32,61.14,440.62
17.27,44.9,1007.85,78.8,454.19
15.95,49.25,1019.04,88.51,463.4
30.36,69.82,1010.02,54.22,439.05
26.77,64.45,1013.26,44.56,449.1
21.95,50.66,1013.92,70.94,455.23
5.18,40.27,1010.84,81.64,489.1
22.83,41.1,1002,38.62,449.99
27.44,59.74,1010.99,56.42,452
7.94,40.6,1015.3,92.14,486.33
34.15,68.51,1010.75,37.02,430.19
13.16,43.71,1024.44,85.68,469.06
23.48,70.79,1006.7,88.57,432.25
16.01,43.69,1017.12,62.43,465.89
28.59,69.84,1003.79,67.31,427.53
18.33,52.08,1001.78,100.09,448.23
16.26,38.58,1016.04,76.7,462.54
21.82,65.27,1013.86,72.81,447.43
32.41,67.83,1008.54,55.96,426.85
21.44,51.19,1009.1,84.94,446.17
19.94,58.96,1014.16,66.27,455.55
24.27,57.85,1012.81,63.48,445.1
21.33,63.86,1020.33,72.13,445.02
24.33,49.16,1003.46,61.04,441.2
28.18,49.3,1003.97,55.56,438.91
11.05,40.71,1024.91,76.42,479.59
11.82,41.17,1019.5,55.74,475.61
16.94,49.64,1024.43,69.22,459.25
19.72,51.19,1008.51,95.28,446.01
10.08,41.16,1023.14,96.03,469.17
19.83,51.43,1007.36,91.64,449.45
22.79,69.13,1010.87,91.47,438.08
25.52,71.98,1006.89,86.94,433.42
5.51,41.03,1022.28,84.5,491.84
27.71,54.2,1012.72,47.25,440.74
10.41,41.01,1020.12,94.27,472.82
9.19,41.01,1022.14,98.98,468.37
19.62,43.56,1012.89,37.6,463.33
15.81,54.3,1017.8,68.45,461.63
24.62,72.24,1011.39,83.94,432.13
17.57,43.7,1015.53,67.22,463.64
26.08,76.86,1003.3,79.49,436.85
17.45,42.28,1007.64,69.19,463.83
26.23,63.56,1013.57,65.81,440.8
10.38,41.01,1020.8,94.26,465.9
17.74,44.2,1018.87,58.59,454.37
23.68,59.27,1010.75,83.82,440.44
20.21,65.06,1016.46,73.36,451.46
25.74,65.38,1009.6,54.34,452.94
28.86,49.3,1003.93,52.85,435.75
18.56,42.28,1007.75,60.89,462.05
10.53,37.5,1008.55,99.91,472.32
3.4,39.64,1011.1,83.43,459.86
27.44,66.56,1005.51,69.28,428
15.85,46.18,1013.14,97.8,462.88
26.84,70.36,1007.41,71.47,442.17
32.36,73.91,1003.88,59.84,431.92
18.26,59.15,1012.04,86.01,451.09
12.31,41.06,1021.19,74.38,475.76
12.1,41.17,1013.72,75.61,478.1
8.61,37.49,1009.35,82.62,477.13
13.97,53.82,1016.81,62.32,465.24
32.15,69.98,1013.3,55.13,429.86
9.97,41.26,1020.6,91.14,475.43
20.89,67.71,1006.12,59.12,445.39
12.87,41.5,1013.51,85.72,469.44
12.51,43.67,1013.24,91.55,471.96
9.75,42.49,1010.57,83.63,480.35
7.41,40.81,1026.15,88.96,488.48
22.64,58.66,1011.68,60.97,449.79
24.2,59.07,1009.25,88.25,441.93
13.86,40.83,1008.76,82.4,470.37
31.52,76.2,1008.31,57.35,435.31
21.01,51.19,1008.44,81.49,446.2
14.32,71.14,1019.87,79.15,460.02
10.16,41.55,1005.69,58.04,477.27
24.92,63.86,1019.19,59.24,440.93
21.29,47.45,1008.85,71.6,447.78
26.09,60.29,1017.72,50.83,444.71
16.38,45.64,1020.47,89.28,462.58
22.99,62.96,1019.6,65.05,449.4
27.76,72.99,1007.81,71.66,435.02
34.33,69.05,1000.89,37.9,430.56
14.6,44.47,1028.46,69.96,465.24
23.84,63.47,1012.54,76.33,444.48
29.91,70.02,1010.18,64.1,437.63
19.23,45.01,1012.24,72.91,450.77
21.93,62.91,1013.45,74.62,449.17
18,53.16,1013.02,82.47,455.69
8.55,36.25,1029.54,85.23,480.68
10.72,40.81,1016.51,80.26,474.64
25.06,62.39,1008.09,82.56,438.31
22.77,70.32,1012.04,82.43,440.67
33.74,69.98,1012.51,43.3,425.35
23.07,50.05,1006.9,86.98,442.97
22.19,60.37,1008.45,92.43,440.75
7.36,41.01,1025.49,96.48,477.37
23.45,66.48,1003.66,75.83,435.13
13.98,44.58,1016.48,77.59,473.01
23.27,64.69,1006.84,70.53,438.08
8.69,41.04,1026.87,80.28,477.2
26.1,63.56,1013.12,61,442.75
23.54,70.32,1010.89,80.76,434.45
18.76,56.53,1020.04,86.62,452.5
23.55,65.94,1011.76,58.44,443.98
21.18,70.02,1010.27,96.46,442.51
22.98,69.84,1005.55,84.1,437.49
19.74,45.38,1015.11,80.67,459.39
19.61,45.01,1014.84,64.42,461.97
25.35,66.56,1008.75,66.88,436.51
21.13,51.43,1007.43,88.72,445.4
14.56,45.51,1015.39,69.84,469.79
9.59,40.11,1026.05,74.27,470.71
24.78,66.49,1010.55,68.12,436.62
7.48,38.5,1014.01,77.35,488.43
27.88,62.66,1009.51,56.44,441.32
5.63,39.22,1013.35,77.67,486.83
20.57,63.78,1016.76,74,449.93
7.51,41.01,1024.61,97.41,477.61
24.6,48.78,1018.1,73.71,442.23
12.07,43.71,1025.53,85.62,472.32
4.78,42.85,1013.07,94.72,479.09
14.15,39.28,1013.5,77.63,471.23
14.84,41.48,1017.26,63.42,460.3
33.11,77.54,1010.36,50.99,431.77
16.09,65.46,1013.84,85.52,454.88
13.18,52.72,1024.67,75.96,468.36
11.41,40.62,1015.56,57.62,466.83
14.81,42.03,1017.43,72.54,470.41
27.1,73.21,1002.97,89.68,430.87
24.18,58.49,1011.3,77.82,445.49
21.88,59.39,1015.58,87.19,442.92
6.17,36.25,1028.68,90.59,483.77
28.11,70.98,1007.76,85.6,431.83
31.3,67.17,1007.27,62.99,433.53
22.66,68.3,1017.73,86.92,431.27
25.12,71.58,1010.18,87.5,433.58
4.61,40.27,1012.32,77.28,492.85
14.05,40.35,1011.52,66.21,475.54
35.01,74.67,1016.1,26.3,428.48
12.62,40.92,1021.85,81.41,465.68
15.54,39.31,1009.69,71.19,461.06
27.64,75.6,1017.35,54.78,441.04
16.5,39.72,1003.05,65.99,459.06
16.55,46.18,1009.97,96.54,455.8
24.65,52.36,1014.76,66.63,455.68
29.64,69.51,1012.13,44.65,428.69
5.17,35.57,1026.68,79.86,491.32
25.64,68.08,1011.06,71.06,431.77
24.31,44.05,1006.16,73.3,442.69
31.92,75.33,1001.81,61.97,436.38
31.95,67.17,1007.11,61.58,432.6
29.1,73.4,1011.35,57.31,436.85
18.63,61.27,1019.69,73.67,454.03
9.18,42.44,1014.52,98.04,480.49
12.87,39.3,1020.64,74.38,467.54
21.48,61.27,1019.29,61.43,450.88
24.9,67.25,1017.77,66.17,433.71
32.21,71.85,1008.25,58.09,429.15
18.21,45,1022.86,48.84,467.54
6.06,41.17,1019.67,84.7,489.62
18.71,54.9,1017.12,74.79,456.88
26.75,60.96,1012.05,56.77,447.93
26.11,47.43,1009.01,56.09,445.36
10.96,41.93,1019.28,87.38,473.28
14.13,48.92,1011.72,78.06,464.17
23.56,49.16,1003.31,66.98,445.36
7.19,40.81,1015.22,85.65,487.15
21.03,69.05,1002.17,75.35,444.35
37.11,68.94,1006.23,31.15,429.25
27.17,67.17,1006.76,81.59,431.73
23.62,45.87,1007.75,58.69,445.55
14.66,42.77,1019.37,79.79,463.6
21.71,60.27,1015.74,89.76,441.19
10.32,42.02,998.27,99.12,472.16
30.55,68.24,1009.43,63.84,426.8
32.05,77.24,1008.06,67.09,432.49
14.76,49.64,1026.31,75.67,461.16
12.68,45,1022.54,77.19,479.69
3.99,39.64,1011.53,83.58,492.06
4.43,38.91,1019.04,88.17,491.9
16,48.78,1013.9,88.64,458.27
25.89,59.22,1013.4,80.17,445.75
19.44,60.07,1014.8,69.06,452.89
24.34,59.54,1004.01,87.07,440.63
21.98,48.41,1008.42,84.86,444.6
11.48,36.18,1017.03,61.62,469.44
8.73,36.18,1013.66,77.74,479.25
18.12,63.09,1019.32,89.21,449.65
23.69,58.05,1012.08,74.26,444.46
32.63,69.89,1013.85,41.66,425.72
26.11,47.43,1009.01,56.09,445.36
24.01,65.46,1014.17,43.02,443.81
23.45,70.04,1010.99,79.2,436.46
14.64,45,1021.78,41.25,475.98
26.2,60.07,1014.75,59.41,440.89
20.6,45.38,1014.93,75.78,460.24
20.61,62.91,1013.24,79.54,446.53
25.68,70.32,1009.08,90.48,431.32
25.94,66.49,1012.83,61.81,433.38
26.27,62.91,1011.97,48.06,447.76
16.21,41.23,995.88,80,463.09
14.34,42.86,1031.75,66.81,466.17
16.32,43.56,1014.4,59.77,463.57
14.1,42.18,1015.05,78.25,463.3
26.79,77.95,1009.9,80.22,437.91
33.82,73.03,1013.49,42.17,439.3
8.39,36.24,1013.39,89.13,480.69
24.89,66.49,1010.15,65.65,436.39
25.14,60.29,1017.91,53.3,444.5
23.07,49.02,1009.07,84.1,444.22
23.47,65.61,1014.57,69.83,447.16
14.79,39.54,1007.25,82.54,469.23
25.56,69.13,1002.46,68.26,434.48
24.77,57.17,1010.66,73,441.12
6.33,39.33,1012.06,93.16,492.22
